date, pm25, pm10, o3, no2, so2, co
2019/11/13, 313, , 42, 42, 9, 
2019/11/14, 281, , 39, 36, 12, 
2019/11/15, 284, , 26, 42, 31, 
2019/11/16, 334, , 27, 18, 7, 
2019/11/17, 206, , 26, 21, 5, 
2019/11/18, 175, , 27, 35, 38, 
2019/11/19, 231, , 37, 41, 27, 
2019/11/20, 278, , 37, 36, 8, 
2019/11/21, 236, , 34, 39, 19, 
2019/11/22, 266, , 33, 37, 29, 
2019/11/23, 286, , 27, 22, 8, 
2019/11/24, 314, , 20, 30, 14, 
2019/11/25, 314, , 30, 37, 9, 
2019/11/26, 284, , 30, 30, 6, 
2019/11/27, 297, , 28, 22, 8, 
2019/11/28, 253, , 18, 20, 4, 
2019/11/29, 128, , 20, 23, 7, 
2019/11/30, 161, , 28, 19, 4, 
2019/12/1, 176, , 27, 24, 5, 
2019/12/2, 187, , 31, 30, 7, 
2019/12/3, 222, , 32, 39, 34, 
2019/12/4, 245, , 33, 34, 8, 
2019/12/5, 256, , 30, 32, 7, 
2019/12/6, 260, , 24, 24, 6, 
2019/12/7, 233, , , , , 
2019/12/9, 201, , 30, 35, 6, 
2019/12/10, 234, , 34, 37, 8, 
2019/12/11, 303, , 21, 24, 4, 
2019/12/12, 246, , 14, 12, 8, 
2019/12/13, 167, , 15, 20, 7, 
2019/12/14, 173, , 16, 21, 2, 
2019/12/15, 155, , 16, 17, 3, 
2019/12/16, 167, , 16, 17, 1, 
2019/12/17, 171, , 10, 15, 1, 
2019/12/18, 178, , 15, 19, 2, 
2019/12/19, 201, , 2, 26, 7, 
2019/12/20, 272, , , , , 
2019/12/23, 247, , 11, 27, 5, 
2019/12/24, 282, , 9, 24, 4, 
2019/12/25, 290, , 10, 18, 3, 
2019/12/26, 239, , 13, 24, 9, 
2019/12/27, 296, , 12, 30, 26, 
2019/12/28, 381, , 11, 25, 6, 
2019/12/29, 358, , , , , 
2019/7/1, 146, , 15, 18, 3, 12
2019/7/2, 112, , 12, 12, 2, 10
2019/7/3, 69, , 9, 10, 2, 7
2019/7/4, 94, , 26, 16, 3, 12
2019/7/5, 86, , 18, 18, 2, 8
2019/7/6, 71, , 21, 20, 2, 10
2019/7/7, 92, , 13, 25, 3, 21
2019/7/8, 70, , 12, 19, 2, 11
2019/7/9, 70, , 7, 15, 3, 11
2019/7/10, 75, , 16, 12, 2, 14
2019/7/11, 74, , 7, 20, 2, 17
2019/7/12, 114, , 7, 17, 5, 10
2019/7/13, 119, , 14, 15, 9, 8
2019/7/14, 107, , 18, 17, 7, 9
2019/7/15, 102, , 23, 16, 3, 8
2019/7/16, 75, , 20, 16, 3, 8
2019/7/17, 84, , 24, 17, 3, 9
2019/7/18, 92, , 15, 22, 3, 13
2019/7/19, 114, , 15, 16, 2, 12
2019/7/20, 106, , 10, 11, 2, 11
2019/7/21, 96, , 29, 16, 3, 10
2019/7/22, 85, , 31, 17, 3, 10
2019/7/23, 111, , 13, 11, 2, 9
2019/7/24, 79, , 16, 12, 2, 11
2019/7/25, 51, , 20, 13, 2, 12
2019/7/26, 68, , 16, 11, 3, 11
2019/7/27, 69, , 15, 7, 2, 8
2019/7/28, 53, , 19, 10, 3, 8
2019/7/29, 56, , 18, 10, 2, 12
2019/7/30, 60, , 19, 12, 2, 11
2019/7/31, 83, , 19, 12, 2, 11
2019/8/1, 89, , 23, 11, 2, 9
2019/8/2, 89, , 24, 13, 2, 13
2019/8/3, 97, , 29, 14, 2, 8
2019/8/4, 97, , 20, 17, 3, 14
2019/8/5, 102, , 19, 12, 3, 11
2019/8/6, 76, , 20, 10, 2, 9
2019/8/7, 32, , 16, 8, 2, 7
2019/8/8, 39, , 16, 7, 2, 10
2019/8/9, 46, , 19, 10, 2, 11
2019/8/10, 51, , 20, 15, 4, 12
2019/8/11, 78, , 21, 13, 10, 9
2019/8/12, 60, , 12, 12, 2, 11
2019/8/13, 74, , 13, 8, 2, 12
2019/8/14, 41, , 16, 7, 3, 9
2019/8/15, 61, , 13, 7, 2, 8
2019/8/16, 36, , 14, 9, 2, 10
2019/8/17, 27, , 16, 9, 9, 9
2019/8/18, 59, , 10, 10, 2, 12
2019/8/19, 59, , 13, 12, 2, 14
2019/8/20, 52, , 11, 12, 5, 16
2019/8/21, 51, , 17, 9, 2, 9
2019/8/22, 54, , 5, 13, 2, 24
2019/8/23, 66, , 15, 12, 6, 
2019/8/24, 81, , 14, 8, 3, 
2019/8/25, 62, , 15, 10, 2, 
2019/8/26, 62, , 16, 13, 3, 
2019/8/27, 95, , 18, 10, 3, 
2019/8/28, 88, , 15, 8, 5, 
2019/8/29, 94, , , , , 
2019/9/6, 84, , 13, 15, 3, 
2019/9/7, 89, , 13, 11, 2, 
2019/9/8, 78, , 15, 15, 3, 
2019/9/9, 74, , 17, 16, 3, 
2019/9/10, 107, , 17, 17, 4, 
2019/9/11, 119, , 13, 13, 3, 
2019/9/12, 92, , 8, 10, 3, 
2019/9/13, 45, , 12, 12, 3, 
2019/9/14, 69, , 10, 12, 3, 
2019/9/15, 90, , 11, 17, 3, 
2019/9/16, 75, , 15, 12, 2, 
